"","PHRASE_STUB","PHRASE","ORIGINALPHRASE","WORDS","ALPHA","BETA","DEM_COUNT","REP_COUNT","slant","Rshare"
"542","medicaidcut","medicaid cut","medicaid cuts",2,0.0013932,-0.0019203,151,2,-149,0.0130718954248366
"543","medicaremedicaid","medicare medicaid","medicare and medicaid",2,-0.0020209,0.0071019,132,194,62,0.595092024539877
"544","medicaremodernizatio","medicare modernization act","medicare modernization act",3,8.98e-05,0.000198,14,44,30,0.758620689655172
"545","medicareprescription","medicare prescription drug","medicare prescription drug",3,0.0006922,0.0004383,150,67,-83,0.308755760368664
"546","memorialday","memorial day","memorial day",2,0.0001406,0.0024031,148,52,-96,0.26
"547","menthealthcare","ment health care","mental health care",3,0.0016786,-0.0020041,65,21,-44,0.244186046511628
"548","methlab","meth lab","meth labs",2,-0.0012415,0.0070082,54,102,48,0.653846153846154
"549","middleclass","middle class","middle class",2,0.0113848,-0.0129955,573,92,-481,0.138345864661654
"550","middleclassamerican","middle class american","middle class americans",3,0.0011453,-0.0016548,55,4,-51,0.0677966101694915
"551","middleclassfamili","middle class famili","middle class families",3,0.0019086,-0.0022459,92,14,-78,0.132075471698113
"552","middleclasstax","middle class tax","middle class tax",3,4.92e-05,7.1e-05,23,2,-21,0.08
"553","middleincome","middle income","middle income",2,0.0021229,-0.0018965,167,49,-118,0.226851851851852
"554","middleincomefamili","middle income famili","middle income families",3,0.0006536,-0.0008159,47,6,-41,0.113207547169811
"555","militaryfamili","military famili","military families",2,0.0013195,0.0011978,192,62,-130,0.244094488188976
"556","militaryoperation","military operation","military operations",2,0.0019519,-0.0014539,130,47,-83,0.265536723163842
"557","militaryoperationira","military operation iraq","military operations in iraq",3,0.0004043,-0.0004559,37,7,-30,0.159090909090909
"558","militarypresenceiraq","military presence iraq","military presence in iraq",3,0.0003733,-0.0004953,27,3,-24,0.1
"559","millionamerican","million american","million americans",2,0.0157569,-0.0145471,851,408,-443,0.324066719618745
"560","millionbudgetrequest","million budget request","million above the budget request",3,-0.0004883,0.0023362,2,20,18,0.909090909090909
"561","millionchildren","million children","million children",2,0.0037546,-0.0047117,226,57,-169,0.201413427561837
"562","millioncut","million cut","million cut",2,0.0027629,-0.003252,119,14,-105,0.105263157894737
"563","millionillegalalien","million illegal alien","million illegal aliens",3,-0.0007661,0.0019673,1,27,26,0.964285714285714
"564","millionillegalimmigr","million illegal immigrant","million illegal immigrants",3,-0.0004376,0.0012164,0,17,17,1
"565","millionjob","million job","million jobs",2,-0.000456,0.0048258,119,196,77,0.622222222222222
"566","millionjobcreated","million job created","million new jobs have been created",3,-0.0002813,0.0011659,3,44,41,0.936170212765957
"567","millionlowincome","million low income","million low income",3,0.0004258,-0.00042,46,7,-39,0.132075471698113
"568","minimumtax","minimum tax","minimum tax",2,0.0032175,-0.0030246,210,76,-134,0.265734265734266
"569","minimumwage","minimum wage","minimum wage",2,0.0064106,-0.0077256,767,294,-473,0.277097078228087
"570","minimumwagejob","minimum wage job","minimum wage jobs",3,0.0002156,-0.0002768,24,3,-21,0.111111111111111
"571","minorityleader","minority leader","minority leader",2,0.0009163,0.0019326,135,257,122,0.655612244897959
"572","minorityownedbusines","minority owned business","minority owned businesses",3,0.002348,-0.0037169,24,3,-21,0.111111111111111
"573","minorityright","minority right","minority rights",2,0.0002606,0.0002213,126,45,-81,0.263157894736842
"574","minoritywomenowned","minority women owned","minority and women owned",3,0.0031262,-0.0043562,23,2,-21,0.08
"575","missedopportunity","missed opportunity","missed opportunity",2,0.0009236,-0.0010201,69,8,-61,0.103896103896104
"576","missionaccomplished","mission accomplished","mission accomplished",2,0.0008648,-0.0009936,64,5,-59,0.072463768115942
"577","moneytaxcut","money tax cut","money for tax cuts",3,0.0002094,-8.82e-05,29,1,-28,0.0333333333333333
"578","moralvalue","moral value","moral values",2,0.0007152,-0.0010112,55,8,-47,0.126984126984127
"579","mountsthelen","mount st helen","mount st helens",3,0.0001013,-0.000114,23,0,-23,0
"580","movejoboversea","move job oversea","move jobs overseas",3,0.0001122,-0.0001435,22,1,-21,0.0434782608695652
"581","nationoilfood","nation oil food","nations oil for food",3,-6.33e-05,0.0002692,0,13,13,1
"582","nationaladcampaign","national ad campaign","national ad campaign",3,-0.0005875,0.0014462,0,16,16,1
"583","nationalconferlegisl","national confer legislature","national conference of state legislatures",3,0.0004064,-0.0005775,29,1,-28,0.0333333333333333
"584","nationaldebt","national debt","national debt",2,0.0034535,-0.0009735,354,68,-286,0.161137440758294
"585","nationaldefense","national defense","national defense",2,-0.0007266,0.005782,123,197,74,0.615625
"586","nationaldefenseautho","national defense authorization","national defense authorization",3,-0.0003519,0.0013941,19,48,29,0.716417910447761
"587","nationalendowmentart","national endowment art","national endowment for the arts",3,0.0004366,-0.0002079,29,4,-25,0.121212121212121
"588","nationalendowmenthum","national endowment humaniti","national endowment for the humanities",3,0.0004979,-0.0007265,19,0,-19,0
"589","nationalfloodinsuran","national flood insurance","national flood insurance",3,-0.0005227,0.0030207,17,71,54,0.806818181818182
"590","nationalforest","national forest","national forest",2,0.0009184,0.0039053,71,176,105,0.712550607287449
"591","nationalguard","national guard","national guard",2,0.0012041,0.0080308,613,332,-281,0.351322751322751
"592","nationalguardreserve","national guard reserve","national guard and reserve",3,0.0002737,0.0010283,126,48,-78,0.275862068965517
"593","nationalheritagecorr","national heritage corridor","national heritage corridor",3,0.0001408,0.0006444,0,11,11,1
"594","nationalhomeownershi","national homeownership month","national homeownership month",3,-0.0002419,0.0007736,0,11,11,1
"595","nationalpassengerrai","national passenger rail","national passenger rail",3,0.000766,-0.0011674,22,0,-22,0
"596","nationalrifleassocia","national rifle association","national rifle association",3,0.0001564,-0.0001691,35,3,-32,0.0789473684210526
"597","nationalsaving","national saving","national savings",2,0.0001604,-0.0001254,34,1,-33,0.0285714285714286
"598","nationalsecurityagen","national security agency","national security agency",3,0.0001957,-8.02e-05,37,9,-28,0.195652173913043
"599","nationalsecurityissu","national security issue","national security issue",3,-0.0006945,0.0029472,27,66,39,0.709677419354839
"600","nationalsecuritylett","national security letter","national security letters",3,0.0017211,0.0001262,142,190,48,0.572289156626506
"601","nationalwildlife","national wildlife","national wildlife",2,0.003261,-0.0034308,248,56,-192,0.184210526315789
"602","nationalwildliferefu","national wildlife refuge","national wildlife refuge",3,0.001901,-0.0013461,234,46,-188,0.164285714285714
"603","naturaldisaster","natural disaster","natural disaster",2,0.0072676,-0.0042359,459,248,-211,0.350777934936351
"604","naturalga","natural ga","natural gas",2,-0.0056803,0.0273256,501,1273,772,0.717587373167982
"605","naturalganatural","natural ga natural","natural gas natural",3,-0.0001053,0.0003769,2,27,25,0.931034482758621
"606","naturalgaoil","natural ga oil","natural gas and oil",3,-0.0002228,0.0007497,5,27,22,0.84375
"607","naturalresource","natural resource","natural resources",2,-0.0006425,0.0070884,240,347,107,0.59114139693356
"608","nearearthobject","near earth object","near earth objects",3,-0.0002993,0.001167,0,20,20,1
"609","nearretirementage","near retirement age","near retirement age",3,-0.000203,0.0005107,0,11,11,1
"610","ninthcircuitcourt","ninth circuit court","ninth circuit court",3,-0.0002029,0.0009964,17,46,29,0.73015873015873
"611","northamericanfre","north american fre","north american free",3,0.0003547,-0.0003082,66,20,-46,0.232558139534884
"612","northernireland","northern ireland","northern ireland",2,0.0004067,-0.0005684,69,4,-65,0.0547945205479452
"613","nuclearbunkerbuster","nuclear bunker buster","nuclear bunker buster",3,0.000254,-0.0003754,30,0,-30,0
"614","nuclearoption","nuclear option","nuclear option",2,0.0015993,-0.0007454,592,88,-504,0.129411764705882
"615","nuclearpower","nuclear power","nuclear power",2,0.0004871,0.0018247,108,215,107,0.665634674922601
"616","nuclearweapon","nuclear weapon","nuclear weapons",2,0.0100947,-0.0087075,654,173,-481,0.20918984280532
"617","nunnlugarprogram","nunn lugar program","nunn lugar program",3,-0.0001586,0.0005846,6,30,24,0.833333333333333
"618","nursinghome","nursing home","nursing home",2,0.0023594,-0.0022829,238,102,-136,0.3
"619","offsettaxcut","offset tax cut","offset tax cuts",3,9.12e-05,-2.43e-05,22,1,-21,0.0434782608695652
"620","ohioelectoralvote","ohio electoral vote","ohio electoral votes",3,0.0012572,-0.0021316,18,0,-18,0
"621","oilcompani","oil compani","oil companies",2,0.0047149,-0.0056594,624,74,-550,0.106017191977077
"622","oildrilling","oil drilling","oil drilling",2,0.0011015,-0.0012576,87,9,-78,0.09375
"623","oilfield","oil field","oil fields",2,-0.0001771,0.0007411,18,66,48,0.785714285714286
"624","oilfood","oil food","oil for food",2,-0.0010667,0.0061395,19,178,159,0.903553299492386
"625","oilfoodprogram","oil food program","oil for food program",3,-0.0006069,0.0033906,10,109,99,0.915966386554622
"626","oilfoodscandal","oil food scandal","oil for food scandal",3,-0.0003524,0.0015733,4,45,41,0.918367346938776
"627","oilgacompani","oil ga compani","oil and gas companies",3,0.0018083,-0.0026346,76,5,-71,0.0617283950617284
"628","oilgadrilling","oil ga drilling","oil and gas drilling",3,0.0003971,-0.0001954,40,9,-31,0.183673469387755
"629","oilgaexploration","oil ga exploration","oil and gas exploration",3,-0.0001892,0.0013145,19,43,24,0.693548387096774
"630","oilgaindustri","oil ga industri","oil and gas industries",3,0.0003964,-0.0006022,17,0,-17,0
"631","oilindustry","oil industry","oil industry",2,0.0011493,-0.0008566,146,32,-114,0.179775280898876
"632","oilnaturalga","oil natural ga","oil and natural gas",3,-0.0008339,0.0033492,49,84,35,0.631578947368421
"633","oilproduction","oil production","oil production",2,3.66e-05,0.0009398,51,110,59,0.683229813664596
"634","operationiraqifreedo","operation iraqi freedom","operation iraqi freedom",3,9.37e-05,0.00253,151,65,-86,0.300925925925926
"635","outingciaagent","outing cia agent","outing a cia agent",3,0.0005339,-0.0008942,39,1,-38,0.025
"636","ownparty","own party","own party",2,0.0011443,-0.0014349,86,17,-69,0.16504854368932
"637","pacificamericanherit","pacific american heritage","pacific american heritage",3,0.0013313,-0.0019898,40,5,-35,0.111111111111111
"638","pacificislander","pacific islander","pacific islander",2,0.0016894,-0.0026554,88,3,-85,0.032967032967033
"639","palestinianauthority","palestinian authority","palestinian authority",2,0.0005649,0.0001554,23,65,42,0.738636363636364
"640","paralyzedveteranamer","paralyzed veteran america","paralyzed veterans of america",3,8.49e-05,0.0001788,25,2,-23,0.0740740740740741
"641","parentnotification","parent notification","parental notification",2,0.000836,5.5e-05,47,101,54,0.682432432432432
"642","parentright","parent right","parental rights",2,-7.54e-05,0.0007373,4,32,28,0.888888888888889
"643","partialbirth","partial birth","partial birth",2,1.6e-06,0.0002554,5,32,27,0.864864864864865
"644","partialbirthabortion","partial birth abortion","partial birth abortion",3,1.6e-06,0.0002554,5,32,27,0.864864864864865
"645","partyline","party line","party line",2,0.0034321,-0.0043778,172,43,-129,0.2
"646","partylinevote","party line vote","party line vote",3,0.0021571,-0.0030459,110,12,-98,0.0983606557377049
"647","passbil","pass bil","pass the bill",2,-0.0081821,0.0313113,220,419,199,0.655712050078247
"648","passengerrail","passenger rail","passenger rail",2,0.0057334,-0.0075144,184,43,-141,0.18942731277533
"649","passengerrailservice","passenger rail service","passenger rail service",3,0.0017764,-0.0024034,55,8,-47,0.126984126984127
"650","passengerrailsystem","passenger rail system","passenger rail system",3,0.0014855,-0.0019349,42,6,-36,0.125
"651","patientsafety","patient safety","patient safety",2,-0.0019345,0.0074709,42,89,47,0.679389312977099
"652","paycollege","pay college","pay for college",2,0.0007818,-0.0008941,55,5,-50,0.0833333333333333
"653","paynationaldebt","pay national debt","pay off the national debt",3,0.0003655,-0.00034,27,4,-23,0.129032258064516
"654","paytax","pay tax","pay for tax",2,0.001832,-0.0020517,124,43,-81,0.25748502994012
"655","paytaxcut","pay tax cut","pay for tax cuts",3,0.0019385,-0.0028545,75,4,-71,0.0506329113924051
"656","pensionplan","pension plan","pension plans",2,0.0017388,0.0002652,291,131,-160,0.31042654028436
"657","peopledisabiliti","people disabiliti","people with disabilities",2,0.0006996,-0.0003931,162,33,-129,0.169230769230769
"658","peoplehealthcare","people health care","people health care",3,0.0004428,-0.0004485,46,12,-34,0.206896551724138
"659","peoplelivingpoverty","people living poverty","people living in poverty",3,0.000419,-0.0006722,19,0,-19,0
"660","peoplelostjob","people lost job","people who have lost their jobs",3,0.0002483,-0.000282,20,1,-19,0.0476190476190476
"661","peoplemiddleeast","people middle east","people of the middle east",3,-0.000116,0.000362,0,14,14,1
"662","percentafricanameric","percent african american","percent of african american",3,0.002587,-0.004195,41,6,-35,0.127659574468085
"663","percentgrowth","percent growth","percent growth",2,-0.0005199,0.0020235,13,121,108,0.902985074626866
"664","percentgrowthrate","percent growth rate","percent growth rate",3,-0.0001693,0.0005938,2,35,33,0.945945945945946
"665","permanentresidentsta","permanent resident statu","permanent resident status",3,-0.000367,0.0010643,3,18,15,0.857142857142857
"666","permanenttaxcut","permanent tax cut","permanent tax cuts",3,0.0002194,-0.0003457,18,0,-18,0
"667","personalaccount","personal account","personal accounts",2,-0.0013197,0.0063144,48,184,136,0.793103448275862
"668","personaldata","personal data","personal data",2,0.0006523,-0.0006977,15,54,39,0.782608695652174
"669","personalinformation","personal information","personal information",2,0.0024875,-0.0033817,106,28,-78,0.208955223880597
"670","personalinjurylawyer","personal injury lawyer","personal injury lawyers",3,-7.74e-05,0.0001958,0,11,11,1
"671","personalretirementac","personal retirement account","personal retirement accounts",3,-0.0011965,0.003622,2,82,80,0.976190476190476
"672","personalsavingaccoun","personal saving account","personal savings accounts",3,-0.0004034,0.0011162,1,23,22,0.958333333333333
"673","pharmaceuticcompani","pharmaceutic compani","pharmaceutical companies",2,0.0012672,-0.0010942,126,32,-94,0.20253164556962
"674","pharmaceuticindustry","pharmaceutic industry","pharmaceutical industry",2,0.000915,-0.000501,131,25,-106,0.16025641025641
"675","planbringtroop","plan bring troop","plan to bring our troops",3,0.0002536,-0.0003728,21,0,-21,0
"676","planprivatize","plan privatize","plan to privatize",2,0.0005037,-0.0007491,41,0,-41,0
"677","planprivatizesocial","plan privatize social","plan to privatize social",3,0.0004709,-0.0007053,37,0,-37,0
"678","planreform","plan reform","plan to reform",2,-0.0005197,0.0016735,3,39,36,0.928571428571429
"679","plansocialsecurity","plan social security","plan for social security",3,-9.42e-05,0.0006425,44,8,-36,0.153846153846154
"680","playingfieldbusiness","playing field business","playing field for small businesses",3,-0.0001628,0.0005323,3,18,15,0.857142857142857
"681","pledgeallegiance","pledge allegiance","pledge of allegiance",2,-0.0010031,0.0040543,51,118,67,0.698224852071006
"682","pluripotentstemcel","pluripotent stem cel","pluripotent stem cells",3,-8.03e-05,0.0002149,0,23,23,1
"683","policyiraq","policy iraq","policy in iraq",2,0.0007271,-0.0008887,48,6,-42,0.111111111111111
"684","politicparty","politic party","political party",2,0.0009532,-0.0003991,124,24,-100,0.162162162162162
"685","poorfamili","poor famili","poor families",2,0.0005557,-0.0008083,49,5,-44,0.0925925925925926
"686","poorpeople","poor people","poor people",2,0.0047541,-0.0071871,205,33,-172,0.138655462184874
"687","postoffice","post office","post office",2,0.0016597,0.0056352,125,258,133,0.673629242819843
"688","posttraumatic","post traumatic","post traumatic",2,0.000694,-0.0007525,54,7,-47,0.114754098360656
"689","posttraumaticstress","post traumatic stress","post traumatic stress",3,0.000694,-0.0007525,54,7,-47,0.114754098360656
"690","postalservice","postal service","postal service",2,0.006125,-0.0017393,235,389,154,0.623397435897436
"691","povertyline","poverty line","poverty line",2,0.0016306,-0.0025074,91,8,-83,0.0808080808080808
"692","prescriptiondrug","prescription drug","prescription drug",2,-0.0001469,0.012256,905,478,-427,0.345625451916124
"693","prescriptiondrugbil","prescription drug bil","prescription drug bill",3,0.0010659,-0.0013812,101,16,-85,0.136752136752137
"694","presidentannounce","president announce","president i would like to announce",2,-0.0004379,0.0015256,5,98,93,0.951456310679612
"695","presidentbudget","president budget","president budget",2,0.0050234,-0.0018536,514,151,-363,0.227067669172932
"696","presidentbudgetcut","president budget cut","president budget cuts",3,0.0001674,-0.0001928,26,1,-25,0.037037037037037
"697","presidentbushoffice","president bush office","president bush took office",3,0.0012735,-0.0016398,107,8,-99,0.0695652173913043
"698","presidentbushplan","president bush plan","president bush plan",3,0.0001277,-0.0001139,25,2,-23,0.0740740740740741
"699","presidentbushsigned","president bush signed","president bush signed",3,0.0002531,-0.0001495,59,20,-39,0.253164556962025
"700","presidentbusiness","president business","president if there is no further business",2,0.0001786,0.0001446,16,95,79,0.855855855855856
"701","presidentcheney","president cheney","president cheney",2,0.0014117,-0.0018315,127,7,-120,0.0522388059701493
"702","presidentjudicialnom","president judicial nomine","president judicial nominees",3,-0.0001199,0.0005184,24,51,27,0.68
"703","presidentmove","president move","president i move",2,-0.0007854,0.0029608,47,188,141,0.8
"704","presidentoffice","president office","president office",2,0.000717,-0.0010367,59,9,-50,0.132352941176471
"705","presidentplan","president plan","president plan",2,0.0019414,-0.002324,249,20,-229,0.0743494423791822
"706","presidentprotempore","president pro tempore","president pro tempore",3,-0.0001063,0.0013945,143,186,43,0.565349544072948
"707","presidentpropose","president propose","president proposes",2,0.001443,-0.0021866,54,2,-52,0.0357142857142857
"708","presidentsocialsecur","president social security","president social security",3,0.0002734,-0.0003046,47,4,-43,0.0784313725490196
"709","presidenttaxcut","president tax cut","president tax cuts",3,5.78e-05,0.00021,47,5,-42,0.0961538461538462
"710","pricegouging","price gouging","price gouging",2,0.0017334,-0.0018208,194,33,-161,0.145374449339207
"711","pricenaturalga","price natural ga","price of natural gas",3,0.0001371,0.0003599,25,72,47,0.742268041237113
"712","privateaccount","private account","private accounts",2,0.0056328,-0.0079909,542,5,-537,0.00914076782449726
"713","privateaccountsocial","private account social","private accounts for social",3,0.00028,-0.0004033,27,0,-27,0
"714","privateproperty","private property","private property",2,-0.0050499,0.0207317,163,346,183,0.679764243614931
"715","privatepropertyowner","private property owner","private property owners",3,-0.0022513,0.0073123,16,48,32,0.75
"716","privatepropertyright","private property right","private property rights",3,-0.0016967,0.0059405,37,100,63,0.72992700729927
"717","privatizationplan","privatization plan","privatization plan",2,0.0016903,-0.0025027,156,1,-155,0.00636942675159236
"718","privatizationsocials","privatization social security","privatization of social security",3,0.0008812,-0.0012762,85,2,-83,0.0229885057471264
"719","privatizesocialsecur","privatize social security","privatize social security",3,0.0017108,-0.0025283,142,1,-141,0.00699300699300699
"720","privatizingsocialsec","privatizing social security","privatizing social security",3,0.0011247,-0.0016373,85,3,-82,0.0340909090909091
"721","producestemcel","produce stem cel","produce a stem cell",3,1.36e-05,0.0001187,0,14,14,1
"722","productsafety","product safety","product safety",2,0.0002242,-0.0002508,41,2,-39,0.0465116279069767
"723","productsafetycommiss","product safety commission","product safety commission",3,0.0001357,-0.0001624,23,1,-22,0.0416666666666667
"724","professionalsport","professional sport","professional sports",2,0.0001424,0.000845,9,44,35,0.830188679245283
"725","programcut","program cut","program cuts",2,0.0011249,0.0012474,144,22,-122,0.132530120481928
"726","programhelp","program help","programs that help",2,0.0041181,-0.0030073,273,95,-178,0.258152173913043
"727","projectsafeneighborh","project safe neighborhood","project safe neighborhoods",3,-1.02e-05,0.0001222,5,24,19,0.827586206896552
"728","propertyright","property right","property rights",2,-0.0033624,0.0134007,126,270,144,0.681818181818182
"729","protectminorityright","protect minority right","protect minority rights",3,1.01e-05,6.87e-05,24,2,-22,0.0769230769230769
"730","protectprivateproper","protect private property","protect private property",3,-0.0004987,0.0014914,3,21,18,0.875
"731","protectsocialsecurit","protect social security","protect social security",3,0.0003481,2.93e-05,43,12,-31,0.218181818181818
"732","protectworker","protect worker","protect workers",2,0.0014412,-0.0020734,71,10,-61,0.123456790123457
"733","providehealthcare","provide health care","provide health care",3,0.0016123,-0.0020109,95,35,-60,0.269230769230769
"734","provisionalballot","provisional ballot","provisional ballots",2,0.0019837,-0.0029861,73,7,-66,0.0875
"735","publicbroadcasting","public broadcasting","public broadcasting",2,0.0036682,-0.0002912,276,37,-239,0.118210862619808
"736","publiccollege","public college","public college",2,0.0003843,-0.0005761,41,0,-41,0
"737","publictelevision","public television","public television",2,0.0009081,-0.0011961,51,6,-45,0.105263157894737
"738","purchasingpower","purchasing power","purchasing power",2,0.0007397,-0.0002593,97,25,-72,0.204918032786885
"739","racialethnicminoriti","racial ethnic minoriti","racial and ethnic minorities",3,0.0009323,-0.0015785,33,7,-26,0.175
"740","railpassengerservice","rail passenger service","rail passenger service",3,0.0002071,-0.0001688,26,3,-23,0.103448275862069
"741","railservice","rail service","rail service",2,0.0020483,-0.0016532,95,23,-72,0.194915254237288
"742","railsystem","rail system","rail system",2,0.0039296,-0.0045287,141,30,-111,0.175438596491228
"743","raiseminimumwage","raise minimum wage","raise the minimum wage",3,0.0004949,-0.0006563,53,16,-37,0.231884057971014
"744","raisetaxe","raise taxe","raise taxes",2,-0.0018178,0.0060103,43,187,144,0.81304347826087
"745","raisingtaxe","raising taxe","raising taxes",2,-0.0002964,0.0020213,19,85,66,0.817307692307692
"746","rateincrease","rate increase","rate increases",2,0.000316,0.0008379,31,91,60,0.745901639344262
"747","ratereturn","rate return","rate of return",2,0.0104654,-0.0163462,76,163,87,0.682008368200837
"748","readymixedconcrete","ready mixed concrete","ready mixed concrete",3,-8.53e-05,0.0002215,0,17,17,1
"749","recordbudgetdeficit","record budget deficit","record budget deficits",3,0.0002409,-0.0003121,23,0,-23,0
"750","recorddeficit","record deficit","record deficits",2,0.0011105,-0.0013415,89,4,-85,0.043010752688172
"751","recordprofit","record profit","record profits",2,0.0011611,-0.0016019,111,4,-107,0.0347826086956522
"752","recordtradedeficit","record trade deficit","record trade deficit",3,0.0001601,-0.0001712,22,1,-21,0.0434782608695652
"753","reducedependencefore","reduce dependence foreign","reduce our dependence on foreign",3,0.0003124,0.001259,110,38,-72,0.256756756756757
"754","reformclassaction","reform class action","reform class action",3,-0.0003415,0.0008969,1,19,18,0.95
"755","reformprogram","reform program","reform the program",2,-0.0002404,0.00182,13,70,57,0.843373493975904
"756","reformsocialsecurity","reform social security","reform social security",3,-0.0003601,0.0016005,10,42,32,0.807692307692308
"757","reformunitednation","reform united nation","reform the united nations",3,0.0001389,0.0010511,31,58,27,0.651685393258427
"758","regionaltrainingcent","regional training cent","regional training center",3,-3.09e-05,9.87e-05,0,11,11,1
"759","reliefmiddleclass","relief middle class","relief to the middle class",3,0.0006332,-0.0009033,19,1,-18,0.05
"760","religiouleader","religiou leader","religious leaders",2,0.0009388,-0.0008855,93,21,-72,0.184210526315789
"761","rememberedfamilyfrie","remembered family friend","remembered by family members friends",3,-0.000293,0.0009802,23,2,-21,0.08
"762","repealdeathtax","repeal death tax","repeal of the death tax",3,-0.0012932,0.003921,4,55,51,0.932203389830508
"763","republiccypru","republic cypru","republic of cyprus",2,4.16e-05,0.0004573,0,26,26,1
"764","republicanleader","republican leader","republican leader",2,0.00122,-0.0007884,223,41,-182,0.15530303030303
"765","republicannationalco","republican national committe","republican national committee",3,0.0002948,-0.0003994,48,7,-41,0.127272727272727
"766","republicanparty","republican party","republican party",2,0.0056777,-0.0082682,295,49,-246,0.142441860465116
"767","republicansenator","republican senator","republican senators",2,0.001612,-0.0021635,241,29,-212,0.107407407407407
"768","reservistnationalgua","reservist national guard","reservists and national guard",3,0.0002042,-0.0002997,22,0,-22,0
"769","retirementaccount","retirement account","retirement accounts",2,-0.0018597,0.0062123,32,119,87,0.788079470198676
"770","reverserobinhood","reverse robin hood","reverse robin hood",3,0.0005491,-0.000835,18,0,-18,0
"771","rhodeisland","rhode island","rhode island",2,0.0043859,-0.0055171,256,99,-157,0.27887323943662
"772","righthumanright","right human right","rights human rights",3,0.0006197,-0.0009911,24,3,-21,0.111111111111111
"773","rightlifeliberty","right life liberty","rights that among these are life liberty",3,-0.0001357,0.0004446,3,19,16,0.863636363636364
"774","rightmovement","right movement","rights movement",2,0.006764,-0.0083994,190,70,-120,0.269230769230769
"775","rightworker","right worker","rights of workers",2,0.0010236,-0.0015584,60,4,-56,0.0625
"776","risingenergyprice","rising energy price","rising energy prices",3,-8.55e-05,0.0004289,29,5,-24,0.147058823529412
"777","risinggaprice","rising ga price","rising gas prices",3,0.0001007,8.6e-06,26,4,-22,0.133333333333333
"778","roewade","roe wade","roe v wade",2,3.21e-05,0.0005794,29,72,43,0.712871287128713
"779","ronaldreagan","ronald reagan","ronald reagan",2,0.0003552,0.0031127,118,188,70,0.61437908496732
"780","rosapark","rosa park","rosa parks",2,0.0199853,-0.0278059,555,172,-383,0.236588720770289
"781","rubberstamp","rubber stamp","rubber stamp",2,0.0009016,-0.0014347,50,6,-44,0.107142857142857
"782","rulechange","rule change","rules changes",2,0.0005116,0.0015661,194,61,-133,0.23921568627451
"783","ryanwhitecare","ryan white care","ryan white care",3,0.0029449,-0.0048389,46,3,-43,0.0612244897959184
"784","saddamhussein","saddam hussein","saddam hussein",2,0.0094495,-0.0078275,221,423,202,0.656832298136646
"785","safedrinkingwater","safe drinking water","safe drinking water",3,0.0013048,-0.0018619,57,17,-40,0.22972972972973
"786","safetybeltlaw","safety belt law","safety belt laws",3,-0.0001738,0.0007343,2,16,14,0.888888888888889
"787","safetylaw","safety law","safety laws",2,0.0008189,-0.0009323,58,9,-49,0.134328358208955
"788","safetynet","safety net","safety net",2,0.0041689,-0.0038546,318,111,-207,0.258741258741259
"789","safetynetprogram","safety net program","safety net program",3,0.0003331,-0.0003171,40,6,-34,0.130434782608696
"790","safetystandard","safety standard","safety standards",2,0.0013223,-0.0017934,74,11,-63,0.129411764705882
"791","saletax","sale tax","sales tax",2,-6.48e-05,0.0015533,35,90,55,0.72
"792","sanctityhumanlife","sanctity human life","sanctity of human life",3,-0.0002809,0.0007512,1,14,13,0.933333333333333
"793","savemoney","save money","save money",2,-0.0001455,0.0042884,88,149,61,0.628691983122363
"794","savingaccount","saving account","savings accounts",2,-0.0010169,0.0042143,50,132,82,0.725274725274725
"795","secretaryairforce","secretary air force","secretary of the air force",3,-0.0006127,0.0019683,5,25,20,0.833333333333333
"796","secretarycolinpowel","secretary colin powel","secretary of state colin powell",3,0.0004318,-0.0003197,56,18,-38,0.243243243243243
"797","securitybenefit","security benefit","security benefits",2,0.0022521,-0.0008042,273,125,-148,0.314070351758794
"798","securityplan","security plan","security plan",2,0.0025591,-0.0029795,109,32,-77,0.226950354609929
"799","securityprivateaccou","security private account","security and private accounts",3,0.0002309,-0.0003235,30,0,-30,0
"800","securityprivatizatio","security privatization plan","security privatization plan",3,0.0002557,-0.0003997,21,0,-21,0
"801","securityreform","security reform","security reform",2,-0.0011838,0.0039121,31,78,47,0.715596330275229
"802","securitysystem","security system","security system",2,0.0012663,0.0019452,151,235,84,0.60880829015544
"803","securitytrust","security trust","security trust",2,0.0012978,0.0003122,309,62,-247,0.16711590296496
"804","securitytrustfund","security trust fund","security trust fund",3,0.0012581,0.0003201,302,60,-242,0.165745856353591
"805","senatecommittebusine","senate committe business","senate committee on small business",3,0.0001822,-0.0002301,4,22,18,0.846153846153846
"806","senateenergybil","senate energy bil","senate energy bill",3,0.0001008,-4.1e-06,34,5,-29,0.128205128205128
"807","senateintelligenceco","senate intelligence committe","senate intelligence committee",3,-0.0001028,0.0008235,74,21,-53,0.221052631578947
"808","senaterepublican","senate republican","senate republicans",2,0.0019225,-0.0024055,224,44,-180,0.164179104477612
"809","senatewhitehouse","senate white house","senate and the white house",3,0.0004167,-0.0004286,47,7,-40,0.12962962962963
"810","sendjoboversea","send job oversea","send jobs overseas",3,0.0002328,-0.0003413,21,1,-20,0.0454545454545455
"811","seniorcitizen","senior citizen","senior citizens",2,0.0019713,0.0001553,355,114,-241,0.243070362473348
"812","seriouconcern","seriou concern","serious concerns",2,0.0013111,-0.0011521,102,29,-73,0.221374045801527
"813","servingcountry","serving country","serving our country",2,-0.0019055,0.0068863,160,57,-103,0.262672811059908
